category,method,seed,aggregation_rule,image_auroc,image_ap
bottle,patchcore,2026,top_1_percent_mean,1.0,1.0
bottle,patchcore,2026,gaussian_pooled_max,1.0,1.0
bottle,patchcore,42,global_max,1.0,1.0
bottle,patchcore,42,percentile_99,1.0,1.0
bottle,patchcore,42,percentile_95,1.0,1.0
bottle,patchcore,42,top_1_percent_mean,1.0,1.0
bottle,patchcore,42,gaussian_pooled_max,1.0,1.0
cable,autoencoder,123,global_max,0.4544602698650675,0.619395642369643
cable,autoencoder,123,percentile_99,0.4544602698650675,0.619395642369643
cable,autoencoder,123,percentile_95,0.45446026986506755,0.6197641811731923
cable,autoencoder,123,top_1_percent_mean,0.4542728635682159,0.6193403426633659
cable,autoencoder,123,gaussian_pooled_max,0.4537106446776612,0.6132976618854571
cable,autoencoder,2026,global_max,0.4523988005997002,0.612569462215115
cable,autoencoder,2026,percentile_99,0.45258620689655177,0.6126530752290159
cable,autoencoder,2026,percentile_95,0.45277361319340326,0.6125686820120986
cable,autoencoder,2026,top_1_percent_mean,0.45239880059970017,0.6125178204582113
cable,autoencoder,2026,gaussian_pooled_max,0.45296101949025486,0.6131076476893402
cable,autoencoder,42,global_max,0.45352323838080955,0.619350393149996
cable,autoencoder,42,percentile_99,0.4540854572713644,0.6196517756730084
cable,autoencoder,42,percentile_95,0.4542728635682159,0.6198392884201109
cable,autoencoder,42,top_1_percent_mean,0.4537106446776612,0.6195334462227626
cable,autoencoder,42,gaussian_pooled_max,0.4537106446776612,0.6194365909405104
cable,padim,123,global_max,0.8615067466266867,0.9035047094215736
cable,padim,123,percentile_99,0.8613193403298351,0.9036456461552078
cable,padim,123,percentile_95,0.8613193403298351,0.9036719338330859
cable,padim,123,top_1_percent_mean,0.8613193403298351,0.9034081588188945
cable,padim,123,gaussian_pooled_max,0.8611319340329835,0.9033715161421036
cable,padim,2026,global_max,0.8615067466266867,0.9035279310401516
cable,padim,2026,percentile_99,0.8618815592203899,0.9043894459199991
cable,padim,2026,percentile_95,0.8618815592203897,0.9042791154375425
cable,padim,2026,top_1_percent_mean,0.8618815592203899,0.9044100188451093
cable,padim,2026,gaussian_pooled_max,0.8605697151424287,0.9034710872186111
cable,padim,42,global_max,0.8615067466266867,0.9035279310401516
cable,padim,42,percentile_99,0.862256371814093,0.9042717748828026
cable,padim,42,percentile_95,0.8624437781109444,0.9049094820062669
cable,padim,42,top_1_percent_mean,0.8615067466266866,0.9032995786703318
cable,padim,42,gaussian_pooled_max,0.8628185907046477,0.9030491976632495
cable,patchcore,123,global_max,0.9902548725637181,0.9940457379307144
cable,patchcore,123,percentile_99,0.9902548725637181,0.9940457379307144
cable,patchcore,123,percentile_95,0.9896926536731635,0.9937469977127232
cable,patchcore,123,top_1_percent_mean,0.9902548725637181,0.9940457379307144
cable,patchcore,123,gaussian_pooled_max,0.9904422788605697,0.9941350404462479
cable,patchcore,2026,global_max,0.9902548725637181,0.9940457379307144
cable,patchcore,2026,percentile_99,0.9902548725637182,0.9940854106138525
cable,patchcore,2026,percentile_95,0.989505247376312,0.993629714150518
cable,patchcore,2026,top_1_percent_mean,0.9902548725637182,0.9940854106138525
cable,patchcore,2026,gaussian_pooled_max,0.989880059970015,0.9939363004907721
cable,patchcore,42,global_max,0.9902548725637181,0.9940457379307144
cable,patchcore,42,percentile_99,0.9902548725637181,0.9940457379307144
cable,patchcore,42,percentile_95,0.9906296851574212,0.9942755296743878
cable,patchcore,42,top_1_percent_mean,0.9902548725637181,0.9940457379307144
cable,patchcore,42,gaussian_pooled_max,0.9928785607196402,0.9955051249153453
carpet,autoencoder,123,global_max,0.3912520064205457,0.6965779400008518
carpet,autoencoder,123,percentile_99,0.39085072231139645,0.696388855207098
